X,Y,Z,W,R,D
2.98067022099986,6.54795049743615,6.04635123987302,6.0033,4.136,4.38343
2.99097280040226,6.59491740869441,6.04148990212169,5.9967,4.1096,4.35374
3.00161373156144,6.68671984641596,6.03666752564976,5.9967,4.1096,4.35374
3.02106780062632,6.68583938507565,6.03108298547998,5.9857,4.1228,4.34934
3.01514107106655,6.69044452755264,6.02461891259789,5.9857,4.1228,4.34934
3.0345687829226,6.67280813295099,6.01755231818722,5.989,4.16239,4.33394
2.9861120344369,6.61086633617191,6.01038598266872,5.989,4.16239,4.30535
3.0112017578524,6.59234510320175,6.00278581429113,5.9934,4.19868,4.30535
3.04585570532866,6.60103637184542,5.99530752030724,5.9934,4.19868,4.30535
3.07855023162761,6.60205715233562,5.9882751090787,5.9967,4.21957,4.28446
2.82911693889154,6.67730119440495,5.98148724001709,5.9945,4.21628,4.28006
2.95655607175405,6.69421783386224,5.97530911923772,5.9945,4.21628,4.28006
3.03679235648177,6.63751626051429,5.9694074837115,5.9945,4.21628,4.28006
3.03679939719992,6.61130481825395,5.96431808180409,5.989,4.19208,4.27236
3.03950289406255,6.53011038271717,5.95961968834015,5.989,4.19208,4.27236
3.01809215873609,6.47599173489155,5.95539202655519,5.989,4.19208,4.27236
2.99090679665221,6.45034678005503,5.95201810815246,5.989,4.19208,4.27236
2.97878462735211,6.44931434676575,5.94940238278138,6.0011,4.23607,4.22727
2.99668948741911,6.47028718865375,5.94872272845376,6.0011,4.23607,4.22727
3.01961894885387,6.48821351406359,5.9482346358283,6.0011,4.23607,4.22727
3.01151517714252,6.4693294367882,5.94819128111837,5.9967,4.25587,4.22287
3.03196188228833,6.4019469024586,5.94875764998182,5.9934,4.28776,4.20968
2.97728943845452,6.36591596249809,5.9497948799451,5.9934,4.28776,4.20968
2.97362584016944,6.31515737437167,5.95086241034692,5.9934,4.30535,4.19538
2.98959031337118,6.2621150075139,5.9520957249196,5.97141,4.30535,4.19538
2.99980688117492,6.25316125481891,5.9536884599439,5.95821,4.31305,4.17999
3.02145979289942,6.29825779807676,5.95533620852325,5.95821,4.31305,4.15469
3.02071133091796,6.2960431398109,5.9571819626118,5.96261,4.31085,4.15469
3.02727922823378,6.32648634312564,5.95848562351974,5.96261,4.31085,4.15469
2.98919805928961,6.27346289723486,5.95998377539267,5.9901,4.30645,4.1437
2.99778027044893,6.24220822467234,5.96034669591998,6.0088,4.28556,4.16129
2.9894999892563,6.22431036294944,5.96021598696818,6.0088,4.28556,4.16129
2.99424196598574,6.19694122688939,5.95974767240896,6.0088,4.28556,4.16129
2.99773563974081,6.18481649323877,5.96116582053963,6.0055,4.24267,4.22397
2.99135124235057,6.24919233377944,5.95904018622811,6.0055,4.24267,4.22397
3.02155830283665,6.28528928082437,5.9571514083961,6.0055,4.24267,4.22397
3.03343544149403,6.29902229944426,5.95559434068287,6.0055,4.24267,4.22397
3.04003218679467,6.31640798328456,5.95375687409446,6.0033,4.21738,4.24707
2.97089026085676,6.30105091528545,5.95187755109765,6.0033,4.21738,4.24707
2.96329674561464,6.32627921182054,5.94989766736532,6.0033,4.21738,4.24707
2.99016773766023,6.32538592275442,5.94768470885225,6.011,4.21408,4.25257
3.00319948504578,6.316240683536,5.94544120551002,6.0077,4.19648,4.27346
3.00902074374979,6.40022205022946,5.9434252079508,6.0077,4.19648,4.27346
3.01220014569627,6.44549714111617,5.94176045239534,6.0077,4.17779,4.29435
3.03081941975353,6.4633066593164,5.94015685535069,5.9956,4.17779,4.29435
3.0216733014755,6.47562155022486,5.93916238943775,5.9857,4.17339,4.30315
3.00255221906462,6.45739170051222,5.93760246432917,5.9857,4.17339,4.32845
2.9801053265047,6.44118673452711,5.93645969542083,5.95271,4.18109,4.32845
2.97697362817252,6.42890162732632,5.93535174355307,5.95271,4.18109,4.32845
2.98292358474138,6.38031799587852,5.93494676746321,5.93512,4.21298,4.34164
3.00187176908304,6.40169416471026,5.93463951858436,5.93182,4.23607,4.33284
3.02305526508327,6.40579954754284,5.9350148877509,5.93182,4.23607,4.33284
3.03202386449395,6.39691996101554,5.93591741099694,5.93182,4.23607,4.33284
3.02168043903598,6.39727493363911,5.93714535216544,5.91972,4.24377,4.29545
3.00479168093761,6.34213777073291,5.93875167360144,5.91972,4.24377,4.29545
2.98486247311711,6.25369257714306,5.94021212138131,5.91972,4.24377,4.29545
2.98211246168089,6.21430249449421,5.94209247213453,5.91972,4.24377,4.29545
2.98256142575394,6.1186969041589,5.944326240695,5.92082,4.22067,4.23387
2.99552538759424,6.10267654238767,5.9465525850803,5.92082,4.22067,4.23387
3.01060915966074,6.10077556030545,5.94892854029428,5.92082,4.22067,4.23387
3.0312478262116,6.09058058332559,5.95197091543565,5.92632,4.19758,4.21298
3.0287639739816,6.0844906581651,5.95542844734138,5.93072,4.17779,4.20528
3.00813019021935,5.99291888830529,5.95797936959783,5.93072,4.17779,4.20528
2.99818198907865,5.94428668842645,5.96071609671285,5.93072,4.17229,4.20748
2.97653132032467,5.8845180702683,5.96469846307078,5.94391,4.17229,4.20748
2.97279468342185,5.80185873912873,5.96840959631902,6.07038,4.18768,4.25916
2.99836254080391,5.78824217899729,5.9689453443045,6.07038,4.18768,4.25916
